category,feature
Features,Free Wi-Fi available
Features,Free breakfast available
Features,Free parking available
Features,Accessible available
Features,Pool unavailable
Features,Air-conditioned available
Features,Laundry service available
Features,Business center available
Features,Pet-friendly unavailable
Features,Room service available
Features,Restaurant unavailable
Features,Airport shuttle unavailable
Features,Fitness center unavailable
Features,Golf course available
Features,Smoke-free available
